ID,Date,Sex,TL,FL,PCL
BT4,8/23/14,F,125.8,102.3,92.6
BT5,8/23/14,F,145.2,124.9,114.1
BH1,9/6/14,F,125.4,99.8,92.4
BH2,9/6/14,M,99.4,79.2,73.6
BH3,9/6/14,M,91.3,76.5,70.4
BH4,9/6/14,F,100.3,83.4,76.5
BH5,9/6/14,F,106.5,85,80.4
BH6,9/6/14,M,94.4,76.3,70.2
BH7,9/6/14,F,107.2,84.2,77.3
BT1,9/13/14,F,116.6,94.9,84.9
BT2,9/13/14,F,95.8,75.3,67.2
BT3,9/13/14,F,107.6,85.9,77.3
BT4,9/13/14,M,107.9,86.4,79.4
BT5,9/13/14,M,115.7,93.4,85.9
BT6,9/13/14,M,102.3,80.8,73.4
BT7,9/13/14,F,127.1,98.1,89.3
BH1,9/19/14,M,92.9,76.9,71.7
BH3,9/19/14,M,90.5,71.7,66.4
BH4,9/19/14,F,107.2,84.1,78.9
BH5,9/19/14,F,112.3,89.5,82.3
BH6,9/19/14,F,102.2,81,76.4
BH7,9/19/14,M,91.9,74.8,68.1
BH8,9/19/14,M,101.4,79.6,73.5
BH9,9/19/14,F,102.7,82.3,76.9
BH10,9/19/14,M,97.1,75.2,69.3
BT1,9/27/14,F,155,136,124.5
BT2,9/27/14,F,150,123.5,113
BT3,9/27/14,M,113.7,82.4,80.6
BT4,9/27/14,M,126.5,101.5,91.8
Cleu_Ara38,10/8/14,M,140.2,110.4,102.8
BH1,10/11/14,F,103,82.1,76.2
BH2,10/11/14,F,105.3,82.8,76.7
BH3,10/11/14,F,100.6,81.8,75.2
BH4,10/11/14,F,112.4,88.3,81.4
BT1,10/11/14,M,77.1,64.5,59.1
BH1,10/18/14,F,102.5,85.6,77.1
BH2,10/18/14,F,104.9,83.9,78.1
BH3,10/18/14,F,91.4,72.5,67.2
BH4,10/18/14,F,116.4,93.4,87.2
BH5,10/18/14,M,92.2,73,67.3
BH6,10/18/14,F,96.5,77.1,71.3
BH1,10/25/14,F,111.8,88.9,82.2
BH2,10/25/14,F,102.6,81,74.5
BH3,10/25/14,F,93.3,73.8,68.2
BH4,10/25/14,F,108.1,85,78.7
BH1,4/11/15,M,76.1,61.8,55.6
BH1,4/27/15,F,51.7,40.8,36.6
BT1,5/2/15,F,148.4,133.5,124.3
BT2,5/2/15,M,139.7,108.9,99.6
BT1,5/23/15,M,82.9,66.6,49.2
BT1,5/30/15,M,104.7,85.6,77.3
BT1,6/19/15,M,102.4,83.9,77.2
BT2,6/19/15,F,138.6,112.7,103.5
BH1,6/20/15,F,67.8,53.2,48.2
BH1,6/26/15,F,92.4,78.4,73.2
BH2,6/26/15,F,95.7,81.3,77.6
BH3,6/26/15,M,91.9,74.1,69.5
BT1,6/30/15,F,162.6,130.4,117.4
BT1,7/4/15,F,167.2,128.9,117.8
BT2,7/4/15,M,139.8,108.9,96.6
BT3,7/4/15,M,145.6,113.1,102.6
BT1,7/10/15,F,130,102.2,91.3
BT1,7/11/15,F,159.8,124.9,111.7
BH1,7/11/15,F,,,
BH2,7/11/15,F,110.5,89.7,83.7
BH3,7/11/15,F,,,
BH1,7/17/15,F,75.3,61.2,55.7
BT1,7/18/15,F,153,118.8,107.9
BH2,7/18/15,M,94.5,72.6,68.2
BH3,7/18/15,M,102.5,79.8,73.5
BH4,7/18/15,M,96.3,77.4,72
BH1,7/18/15,M,102.5,82.9,77.3
BH1,7/25/15,F,111.4,90.2,84.6
BT1,8/12/15,F,111.7,89.2,82
BT1,8/14/15,F,152.5,115.2,106.3
BT1,9/4/15,M,120.9,98.8,88.5
BH1,9/5/15,F,102.7,82.2,75.8
BH2,9/5/15,M,101.9,78.5,73.4
BH3,9/5/15,M,95.4,77.1,71.6
BT1,9/5/15,M,117.3,91.9,82.8
BH4,9/5/15,F,103.3,84.5,78.3
BH1,9/12/15,F,109.2,86.8,78.7
BH2,9/12/15,F,87.5,68.5,63.2
BH1,9/25/15,M,95,77.3,71.2
BH2,9/25/15,F,87.9,70.7,65.2
BH3,9/25/15,M,88.1,69,64.3
BH1,9/26/15,M,97.5,79.4,73.4
BT1,10/3/15,M,126.1,100.7,91.2
BT2,10/3/15,F,67.4,55.5,50.2
BT3,10/3/15,M,129.7,102.9,94.4
BH1,10/3/15,M,101.7,81.2,75.6
BH2,10/3/15,F,103.7,83.5,76.5
BH3,10/3/15,M,85.2,65.9,60.5
BH4,10/3/15,F,66.4,51.7,47.8
BH1,10/10/15,F,101.8,79.9,74.2
BH2,10/10/15,F,110.6,88.6,81.4
BH3,10/10/15,F,109.6,82.2,29.1
BH1,10/17/15,F,72.9,54.6,50.5
BH2,10/17/15,M,68.6,49.1,45
Cleu_Mat10,10/21/15,M,92.8,73.2,65.5
BT1,3/29/16,M,52.6,40.4,36.3
BT2,3/29/16,F,67.9,52.7,47.8
Cleu_Mat17,6/8/16,F,151.6,118.3,107.5
BT1,6/17/16,F,121.4,99.2,91.3
BH1,6/17/16,F,86.5,68.2,61.7
BT2,6/17/16,M,129.4,100.6,90.2
BT3,6/17/16,M,115.6,92,83.2
BT4,6/17/16,F,122.3,95.2,87.4
BT5,6/17/16,M,106.3,90.5,81.2
BT6,6/17/16,F,117.2,97.1,88.9
BT7,6/17/16,M,126.5,98.4,90.2
BT8,6/17/16,M,132.9,107.4,97.7
BT1,6/18/16,F,107.2,85.7,77.4
BT2,6/18/16,M,127.4,103.2,93.2
BT3,6/18/16,F,141.9,109.7,99.2
BT1,6/23/16,M,148.6,122.7,112.1
Cleu_Gal01,6/23/16,M,215,174.5,159
BT1,6/24/16,M,137.5,105.9,97.3
BT2,6/24/16,M,119,90.9,82.2
BT3,6/24/16,M,137.4,114.6,103.2
BT4,6/24/16,M,113.3,95.1,85.2
BT1,6/25/16,F,114,96.4,85.2
BT2,6/25/16,M,129.6,103.8,93.6
BT3,6/25/16,M,120.6,96.4,85.9
BT4,6/25/16,F,119.6,94.8,86.2
BT5,6/25/16,F,125.7,101.6,91.9
BT6,6/25/16,F,127.8,102.9,94.5
BT7,6/25/16,M,126.2,97.5,88.4
Cleu_Gal02,6/25/16,M,183.8,149.1,137.9
Cleu_Gal03,7/1/16,M,196.3,156.5,141.3
BT1,7/1/16,F,160.3,131.4,121.6
BT2,7/1/16,M,128.3,107.2,99.4
BT3,7/1/16,M,148.2,116.3,107.2
BH1,7/2/16,F,61,48,43.8
BH2,7/2/16,F,93.8,73,66.7
BH3,7/2/16,M,87.2,71.6,62.4
BH4,7/2/16,F,97.5,78.4,70.5
BH5,7/2/16,M,88.4,70.3,64.2
BH6,7/2/16,M,89.6,68.9,62.6
BH7,7/2/16,F,103.6,82.4,74.5
BT1,7/2/16,M,140.9,110.8,100
BT1,7/3/16,F,119.9,94.4,82.5
BT2,7/3/16,M,145.3,113.8,100.8
BT1,7/8/16,M,120.3,95,83
BT1,7/9/16,F,124.7,94.3,86.8
BT2,7/9/16,M,,100.7,
BT3,7/9/16,M,118.7,95.4,86.2
BT1,7/15/16,F,127.3,102.8,92.1
BT2,7/15/16,F,115.6,92.7,83.3
BH1,7/15/16,F,95.5,75.3,68
BH2,7/15/16,F,74.6,57.7,53.1
BT3,7/15/16,F,134.5,111,100.4
BH1,7/16/16,F,101.2,78.4,72
BH2,7/16/16,F,111.2,93.1,86.2
BH3,7/16/16,F,97.2,86.3,78.4
BH4,7/16/16,F,109.2,86.5,80.2
BT1,7/16/16,F,135.1,113.2,101.5
BT2,7/16/16,F,124.4,98.6,88.5
BT3,7/16/16,M,127.5,106.2,96
BT4,7/16/16,M,119.3,94.4,84.2
BT5,7/16/16,F,128.7,99.6,91.6
BT1,7/19/16,F,171.1,135.6,122.3
BT1,7/22/16,M,108.8,87.6,79.1
BH1,7/22/16,F,111.9,89.8,83.2
BH2,7/22/16,M,86,70.9,66.8
BT2,7/22/16,M,112.6,87.8,79.6
BT3,7/22/16,M,120.6,98.4,88.9
BH1,7/23/16,F,104.7,84.3,77.3
BH2,7/23/16,F,99.1,77,70.3
BH3,7/23/16,F,99.6,77.9,70.4
BH4,7/23/16,F,103.2,82.7,76.5
BH5,7/23/16,F,105.1,83.8,76.4
BT1,7/23/16,M,160.7,130.4,119.5
BT2,7/23/16,F,120.6,95.1,86.4
BH1,7/29/16,F,87.2,67,62.1
BH2,7/29/16,M,83.4,64.1,59.1
BT1,7/29/16,M,124.8,8.6,97.9
BT2,7/29/16,F,128.4,102.9,93.2
BT1,7/30/16,F,155.4,119.2,107.6
BT2,7/30/16,F,135.3,101.2,89
BT3,7/30/16,F,132.4,101.3,91.2
BT4,7/30/16,M,115.1,89,80.6
BH1,8/5/16,M,80.2,62.7,57.4
BH2,8/5/16,F,109.4,87.3,81.7
BH3,8/5/16,F,101.9,77.3,74.4
BH4,8/5/16,M,93.9,77.5,70.4
BH13,8/5/16,M,104.3,82.2,75.6
BT1,8/5/16,M,167.9,134.8,122.5
BT2,8/5/16,F,130.4,100.3,88.6
BT1,8/6/16,F,161.6,129.9,118.4
BH1,8/6/16,F,103.2,83.5,76.7
Cleu_Gal04,8/8/16,M,165.4,135.3,122.1
BT1,8/13/16,F,73.6,57.9,52.1
BT1,8/20/16,M,123.4,100.8,90.7
BT2,8/20/16,F,122.4,97.4,86.1
BH1,8/26/16,M,70.3,58.5,53.5
BH2,8/26/16,F,82.3,64.9,58.1
BH3,8/26/16,M,65.1,50.4,46.5
BT1,8/26/16,M,96.8,75.9,67.7
BT2,8/26/16,F,101.9,83.6,74.5
BT3,8/26/16,M,119.8,93.9,84.5
BT4,8/26/16,M,94,75.7,67.3
BT1,8/27/16,F,72.5,56.2,50.8
BH1,8/27/16,M,88.9,69.2,64.1
BH2,8/27/16,M,94.4,73.8,68.2
BH4,8/27/16,F,105.7,81.3,74.2
BH5,8/27/16,F,106.9,86.9,80.4
